price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 1 599 000,1,1,1,House,,,,,1,
R 1 000 000,3,1.5,2,Townhouse,8197m²,128m²,R1799,,0,1.0
R 3 650 000,4,2.5,6,House,,,,,1,
R 1 700 000,3,2,14,House,709m²,,,R883,0,
R 773 000,3,1,2,House,200m²,60m²,,R500,0,1.0
R 1 295 000,3,1,1,House,495m²,,,R200,0,1.0
R 1 500 000,3,2,2,House,495m²,,,R709,0,0.0
R 195 000,0.5,1,,Apartment/Flat,,28m²,R1038,R392,0,0.0
R 550 000,2,1,,Apartment/Flat,,66m²,,R224,0,
R 950 000,2,2,,Townhouse,,,R2000,R700,1,1.0
R 710 000,2,1,2,House,,,,,0,0.0
R 675 000,2,1,2,Apartment/Flat,,51m²,R750,R500,0,
R 1 000 000,1,1,1,Apartment/Flat,,105m²,R2872,R750,0,1.0
R 1 599 000,3,1,1,Apartment/Flat,,758m²,,,0,0.0
R 773 000,3,1,,House,200m²,70m²,,R300,0,1.0
R 500 000,1,1,,Apartment/Flat,,45m²,,R303,0,
R 1 195 000,3,2,2,Townhouse,,93m²,R1300,R500,1,0.0
R 3 700 000,3,2,4,House,1190m²,370m²,,R1900,1,
R 3 295 000,4,3,2,House,,,,,1,
R 2 499 000,4,3,2,House,,,,,1,
R 8 499 900,,,,,,,,,0,
R 2 395 000,3,2,8,House,992m²,,,R922,0,1.0
R 180 000,1,1,2,Apartment/Flat,,51m²,,,0,
R 1 495 000,3,3,2,House,900m²,,,R550,0,
R 1 195 000,3,2,1,Townhouse,,,,,0,
R 650 000,1,1,1,Apartment/Flat,55m²,55m²,R1510,R251,1,
R 20 000 000,,,,IndustrialProperty,,3650m²,,,0,
R 1 900 000,3,2,6,House,532m²,,,,1,
R 949 000,2,1,,Apartment/Flat,4537m²,96m²,R2943,R422,0,
R 525 000,1,1,1,Apartment/Flat,,,,,0,
R 7 950 000,4,4,6,House,8700m²,,,R2827,1,1.0
R 8 500 000,3,3,5,House,790m²,1m²,,R3300,1,1.0
R 359 000,2,1,,Apartment/Flat,,55m²,R574,,0,0.0
R 7 999 000,4,3.5,10,House,3733m²,,,,1,1.0
R 827 000,2,1,1,House,200m²,50m²,,R500,0,1.0
R 360 000,2,1,,Apartment/Flat,573m²,55m²,,,0,0.0
R 1 500 000,3,1,5,House,,,,R900,0,1.0
R 849 000,3,2,4,House,400m²,,,R482,0,
R 2 370 500 - R 2 552 550,,,,,,,,,0,
R 1 690 000,3,2,1,House,753m²,,,,1,
R 7 500 000,2,2.5,4,House,736m²,420m²,,R1428,1,0.0
R 995 000,3,2,7,House,481m²,120m²,,R432,0,1.0
R 760 000,2,1,,House,343m²,,,R291,0,1.0
R 1 599 000,3,2,4,House,495m²,,,R1500,1,
R 2 999 999,3,2,1,House,495m²,220m²,,R2021,1,1.0
R 1 300 000,2,2,3,House,495m²,,,,0,1.0
R 1 950 000,3,1,4,House,865m²,,,R1200,0,1.0
R 1 300 000,8,3,4,House,,,,,0,
