price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 3 300 000,,,,VacantLand/Plot,4047m²,,,,,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,51m²,R750,R500,0.0,0
R 1 175 000,2.0,1.0,1.0,Townhouse,4361m²,96m²,,R634,0.0,0
R 629 000,,,,,,,,,,0
R 1 700 000,2.0,1.0,2.0,Apartment/Flat,,136m²,R2400,R800,,0
R 1 200 000,3.0,2.0,5.0,House,496m²,,,R500,1.0,0
R 1 149 000,2.0,2.0,1.0,Apartment/Flat,1m²,1m²,R1610,R500,0.0,0
R 1 295 000,3.0,1.0,2.0,House,495m²,,,R550,1.0,1
R 1 350 000,3.0,2.0,2.0,Apartment/Flat,,82m²,,,0.0,1
R 1 700 000,4.0,3.0,1.0,House,248m²,248m²,,R1562,0.0,0
R 839 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 1 550 000,2.0,2.0,3.0,Townhouse,25583m²,97m²,R2594,R959,1.0,1
R 519 995,0.5,1.0,1.0,Apartment/Flat,6354m²,32m²,R1100,R300,0.0,1
R 2 499 000,4.0,2.5,2.0,House,698m²,,,R1736,1.0,0
R 1 780 000,4.0,3.0,2.0,House,775m²,,,,1.0,1
R 2 195 000,3.0,3.5,4.0,House,595m²,,,R750,,0
R 665 000,2.0,1.0,2.0,Apartment/Flat,,51m²,R750,R200,,0
R 1 250 000,1.0,1.0,1.0,Townhouse,22705m²,70m²,R2072,R747,1.0,1
R 800 000,,,,VacantLand/Plot,1350m²,,,,,0
R 880 000,1.0,1.0,,Apartment/Flat,,46m²,R2094,R638,,1
R 695 000,1.0,1.0,,Apartment/Flat,,83m²,R2508,R359,0.0,0
R 625 000,,,,Farm,,,,R600,,0
R 849 000,2.0,1.0,,Townhouse,70m²,,R1350,R496,,0
R 1 500 000,4.0,3.0,2.0,House,1189m²,,,R670,1.0,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,51m²,R750,R500,0.0,0
POA,,,,CommercialProperty,2970m²,2970m²,R1,R1,,0
POA,,,,CommercialProperty,992m²,2207m²,,R9265,,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 665 000,3.0,2.0,1.0,Townhouse,22301m²,76m²,R1390,R159,,0
R 1 895 000,2.0,2.0,2.0,Apartment/Flat,,155m²,R4400,R930,1.0,1
R 7 500 000,,,,CommercialProperty,1395m²,,,,,0
R 675 000,2.0,1.0,1.0,Apartment/Flat,51m²,51m²,R750,R180,,0
