price,Type of Property,Erf Size,Floor Size,Rates and Taxes,Pool,bedrooms,bathrooms,parking space,Levies,Pets Allowed
R 120 000,Apartment/Flat,,43m²,R60,0,0.5,1,1,R1300,0.0
R 325 000,VacantLand/Plot,248m²,,R648,0,,,,,
R 1 499 000,House,594m²,,R665,0,3,2,1,,1.0
R 695 000,Townhouse,,79m²,,0,2,1,,,0.0
R 1 500 000,House,495m²,,,0,3,2,1,,1.0
R 1 050 000,House,364m²,,,0,2,2,2,,1.0
R 2 750 000,House,540m²,,,1,3,2.5,2,,
R 1 720 000,House,669m²,,R1500,0,3,2,2,,
R 545 000,Apartment/Flat,,45m²,,0,1,1,1,,
R 5 900 000,House,,,R3602,1,4,2,2,,
R 1 450 000,House,358m²,,,0,2,2,2,,1.0
R 1 260 000,Townhouse,,170m²,R782,1,4,2.5,2,R3000,
R 650 000,Townhouse,140m²,140m²,,0,2,1,1,R950,
R 3 250 000,House,990m²,,R1123,0,6,5,6,,
R 270 000,Apartment/Flat,,57m²,R250,0,1,1,1,R1600,0.0
