price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size,parking space
R 4 500 000,5,5,House,,,R3500,,0,1693m²,2
R 1 100 000,,,House,,,,,0,,
R 1 685 000,3,2,House,,,R805,1.0,1,833m²,2
R 44 020 000,,,CommercialProperty,,,,,0,,
R 2 500 000,7,4,House,,,R1,1.0,0,1200m²,2
R 2 800 000,,,VacantLand/Plot,,R3010,,,0,853m²,
R 690 000,2,1,Townhouse,68m²,,R1800,0.0,1,,1
R 950 000,,,CommercialProperty,,,,,0,,
R 12 999 000,,,Farm,,,R2000,,1,,
R 1 195 000,,,CommercialProperty,,,,,0,1000m²,
R 2 599 000,4,2,House,,,R1800,,1,991m²,6
R 3 900 000,5,4,House,505m²,,,1.0,1,1327m²,3
R 3 610 500,,,CommercialProperty,,,,,0,,
R 695 000,1,1,Townhouse,,R2200,R450,0.0,1,59m²,
POA,5,6,House,727m²,,R2500,1.0,1,1500m²,4
R 950 000,4,2,House,,,,1.0,0,660m²,1
R 1 550 000,,,CommercialProperty,,,,,0,1055m²,
R 1 150 000,3,2,Townhouse,124m²,,R982,0.0,1,20885m²,1
R 1 150 000,3,2,House,,,R467,1.0,0,495m²,4
R 560 000,2,1,Townhouse,,,,,0,,1
R 880 000,3,2,Apartment/Flat,,R3100,R500,,0,,1
R 650 000,2,1,House,,,R160,,0,256m²,1
R 10 599 000,5,4.5,House,,R6000,,1.0,1,1214m²,5
R 845 000,1,1,Apartment/Flat,99m²,R2275,R1887,0.0,0,,
R 230 000,1,1,Apartment/Flat,57m²,R1008,,0.0,0,,
R 8 150 000,,,,,,,,0,,
R 2 950 000,3,2,House,350m²,,,1.0,0,759m²,3
R 629 000,2,1,Townhouse,60m²,R1127,R372,0.0,0,,2
R 1 229 000,3,2.5,House,122m²,R270,R660,,0,230m²,2
R 6 599 000,3,3.5,House,320m²,R4200,R3638,1.0,1,464m²,2
R 530 000,2,1,Townhouse,55m²,,R1000,0.0,0,,
R 3 200 000,,,CommercialProperty,,,R3500,,0,495m²,
R 64 800 000,8,11,House,2000m²,,,1.0,1,4196m²,12
R 6 999 000,3,3.5,House,380m²,R1500,R4500,1.0,1,736m²,4
R 385 000,2,1,Apartment/Flat,103m²,R1398,,0.0,0,,2
R 1 149 000,2,2,Apartment/Flat,,R1610,R500,,0,,2
R 9 000 000,5,4.5,House,,,R6035,1.0,1,3965m²,3
R 6 300 000,,,House,,,,,0,,
R 1 090 000,4,2,House,,,R800,,0,496m²,3
R 2 500 000 - R 4 300 000,,,,,,,,0,,
R 3 550 000,,,CommercialProperty,,,R2335,,0,495m²,
R 2 650 000,3,2,House,,,,,0,496m²,4
R 8 299 000,,,House,,R2780,R2000,,0,990m²,
R 640 000,2,1,Townhouse,58m²,R775,R338,0.0,0,9276m²,
R 2 150 000,2,2,Apartment/Flat,122m²,,,0.0,1,,2
R 2 800 000,3,2.5,Apartment/Flat,267m²,R5719,R1892,,1,,
R 1 139 000,3,2,Townhouse,100m²,R1375,R400,0.0,1,,2
POA,,,IndustrialProperty,,,,,0,,
R 170 000,0.5,1,Apartment/Flat,27m²,R600,R170,,0,,
R 2 400 000,4,4.5,House,,,,1.0,0,1010m²,5
R 900 000,4,2.5,House,115m²,,R700,0.0,0,378m²,
R 659 800,2,1,Apartment/Flat,65m²,R851,R300,0.0,1,,1
R 2 750 000,4,2,House,,,R1113,1.0,1,857m²,2
R 8 615 000,5,5,House,514m²,R1493,R1800,,0,648m²,3
R 790 000,1,1,Apartment/Flat,51m²,R1200,R300,1.0,1,,1
R 849 000,3,1,Townhouse,87m²,R1899,R500,0.0,0,11297m²,
R 649 000,2,1,Townhouse,,R1008,,,0,,1
R 739 000 - R 789 000,,,,,,,,0,,
R 1 550 000,2,2.5,Townhouse,106m²,,,0.0,1,,
R 650 000,1,1,Apartment/Flat,50m²,,,,0,50m²,
R 1 295 000,4,3,House,,,R500,1.0,0,436m²,7
R 10 500 000,,,IndustrialProperty,2600m²,,,,0,3500m²,
R 11 900 000,9,9,House,,,R4668,,0,1963m²,5
R 1 370 000,3,1,House,,,R800,,0,496m²,3
R 6 500 000,,,CommercialProperty,596m²,,,,0,2509m²,
R 620 000,1,1,Apartment/Flat,,,,0.0,0,,
R 250 000,1,1,Apartment/Flat,55m²,R1195,,0.0,0,55m²,2
R 3 499 500,3,2,House,1m²,,R2700,1.0,1,495m²,4
R 830 000,3,2,House,180m²,,R462,1.0,0,451ha,8
R 1 950 000,,,CommercialProperty,769m²,,R1665,,0,769m²,
R 1 095 000,6,4,House,410m²,,R850,,0,495m²,2
R 950 000,3,2,Townhouse,91m²,R2123,R453,,0,9868m²,
R 1 095 000,3,2,Townhouse,116m²,R2337,R615,0.0,0,27902m²,1
R 1 999 999,5,4,House,,,,1.0,1,,2
R 580 000,2,1.5,Townhouse,43m²,R1350,R222,0.0,0,11029m²,
R 5 200 000,4,4,House,312m²,,R3476,,0,589m²,6
R 1 290 000,3,1,House,,,R487,,0,,2
R 4 900 000,,,,,,,,0,,
R 3 750 000,2,2,Apartment/Flat,122m²,R6520,R2200,,1,,2
R 2 690 000,2,2,Apartment/Flat,138m²,R2978,R2065,,0,14841m²,
R 760 000,1,1,Apartment/Flat,65m²,R944,R1128,,0,,2
R 730 000,2,2,Apartment/Flat,68m²,R1587,R550,,0,,
R 5 200 000,,,House,,,,,0,3518m²,
R 1 750 000,3,1.5,House,,R285,R700,1.0,1,1.389m²,3
R 2 600 000,12,11.5,Apartment/Flat,713m²,,R2500,,0,714m²,
R 3 399 000,2,2,House,,,R1900,1.0,1,496m²,2
R 14 750 400,,,IndustrialProperty,1756m²,,,,0,2800m²,
R 1 090 000,1,1,Apartment/Flat,67m²,R2319,R1027,,1,,1
R 12 000 000,4,3,House,,,R5651,,1,5172m²,2
R 3 995 000,4,2,House,,,,1.0,0,1020m²,2
R 1 695 000,3,2,House,350m²,,R870,1.0,1,2091m²,3
R 3 400 000,1,1,Apartment/Flat,72m²,R3168,,,1,,1
R 6 995 000,,,CommercialProperty,,,,,0,743m²,
POA,3,3,Townhouse,,,,,0,16667m²,3
R 2 300 000,4,3,House,,,R1500,1.0,0,2023m²,2
R 1 199 000,2,2,Apartment/Flat,101m²,R1325,R343,,0,,
R 2 500 000,,,VacantLand/Plot,,,,,0,1427m²,
R 3 800 000,2,2.5,Apartment/Flat,149m²,R5000,R2064,,0,,2
R 899 000,6,3,House,,,,1.0,0,300m²,2
R 2 145 000,2,2,Apartment/Flat,132m²,R2239,,,0,12928m²,2
R 2 700 000,3,2,House,,,R991,1.0,0,1375m²,1
R 1 550 000,,,Apartment/Flat,,R1800,,,0,,
R 660 000,2,1,Townhouse,55m²,R97,R1600,0.0,0,,2
R 300 000,1,1,Apartment/Flat,76m²,R1145,,0.0,0,,1
R 660 000,2,1,Apartment/Flat,74m²,,,0.0,0,12842m²,1
R 779 000,1,1,Apartment/Flat,59m²,R1270,R229,,0,,
R 750 000,2,1,House,,,,,0,,1
R 1 600 000,3,2,House,,,,,1,,2
R 1 520 000 - R 1 755 000,,,,,,,,0,,
R 995 000,4,3,House,,,R670,,1,763m²,2
R 1 595 000,2,2.5,Townhouse,106m²,R3492,R840,,1,,
R 3 500 000,,,CommercialProperty,,,,,0,1146m²,
R 2 190 000,9,4,House,,,,,0,669m²,1
R 2 045 000,6,3,House,,,R1283,,0,,2
R 720 000,,,VacantLand/Plot,,,,,0,1339m²,
R 995 000,3,1,Apartment/Flat,169m²,R3390,R434,0.0,0,,1
R 531 000,1,1,Apartment/Flat,51m²,R2000,,,1,1000m²,1
R 1 850 000,3,2,House,,,,1.0,1,1388m²,3
R 19 950 000,5,4.5,House,981m²,,,1.0,1,1749m²,4
R 4 500 000,4,2.5,House,,,,1.0,1,1332m²,4
R 2 895 000,,1,Apartment/Flat,52m²,R2288,R1699,,1,,1
R 1 150 000,2,1,Townhouse,85m²,R1092,R637,1.0,0,,2
R 4 995 000,,,House,1m²,,R2800,1.0,0,950m²,8
R 1 350 000,1,1,Apartment/Flat,105m²,,R2496,1.0,0,6842m²,1
R 799 000,2,2,Apartment/Flat,85m²,R2020,R433,1.0,1,85m²,
R 2 199 000,6,5,House,480m²,,R700,1.0,0,553m²,2
R 400 000,2,1.5,Apartment/Flat,87m²,R1666,,0.0,0,,1
R 4 770 000,,,,,,,,0,,
R 1 250 000,3,2,House,236m²,,R568,1.0,0,496m²,
R 609 085,1,1,Apartment/Flat,55m²,R2390,,,1,2000m²,1
R 1 095 000,2,1,Apartment/Flat,102m²,R3785,R601,0.0,0,,1
R 2 600 000,,,VacantLand/Plot,,R2150,,,0,689m²,
R 3 995 000,3,2,House,261m²,R672,R2437,1.0,0,289m²,2
R 580 000,2,1,Townhouse,69m²,R1600,R320,1.0,1,9151m²,
R 529 000,2,1.5,Townhouse,87m²,,R297,0.0,1,9252m²,
R 1 050 000,1,1,Apartment/Flat,62m²,R2145,R69800,0.0,1,,1
R 8 850 800,4,4,House,366m²,,,,0,,2
R 599 000,2,1.5,House,120m²,,R399,,0,400m²,
R 2 695 000,,,VacantLand/Plot,,,,,0,,
R 1 026 000,0.5,1,Apartment/Flat,74m²,R1625,,0.0,0,,2
R 4 200 000,2,2,Apartment/Flat,86m²,R3784,,,1,,2
R 3 400 000,,,CommercialProperty,242m²,,,,0,1012m²,
R 2 890 000,,,CommercialProperty,1887m²,,R5000,,0,2000m²,
R 4 500 000,3,2.5,House,,,R2768,1.0,1,1000m²,2
R 340 000,3,1,Apartment/Flat,103m²,R2600,R200,,0,,1
R 4 095 000,3,3,House,380m²,R1560,R1956,,0,589m²,
R 1 400 000,2,2,Apartment/Flat,102m²,R2500,R1500,,1,,3
