price,bedrooms,bathrooms,Type of Property,Pool,parking space,Erf Size,Levies,Rates and Taxes,Pets Allowed,Floor Size
R 4 250 000,4,3,House,1,3,1051m²,,R1683,,500m²
R 1 495 000,2,2,Apartment/Flat,1,1,,R2448,R986,0.0,86m²
R 8 850 000,5,5.5,House,1,8,1500m²,,R4300,0.0,650m²
R 2 500 000,12,3,House,0,5,,,,,
R 4 423 900,2,2,House,0,1,107m²,R3580,,,
R 3 999 000 - R 4 249 000,,,,0,,,,,,
R 1 699 900,2,2,Apartment/Flat,0,2,,,,,108m²
R 3 900 000,3,3.5,Apartment/Flat,1,2,,R3100,,1.0,151m²
R 1 500 000,3,2,House,0,2,,,,,
R 995 000,3,2,House,0,1,,,,,
R 8 095 000,5,5,House,0,3,757m²,R1520,R1800,,467m²
R 569 000,2,1,Apartment/Flat,0,1,48m²,R1200,R285,,48m²
R 5 950 000,4,4,House,1,2,746m²,R2200,,1.0,
R 485 000,2,1,Apartment/Flat,0,1,,R1200,,1.0,75m²
R 2 399 000,3,4,Townhouse,0,,,R3800,,1.0,147m²
R 949 000,1,1,Apartment/Flat,0,,1799m²,R1519,,0.0,71m²
R 980 000,3,2,House,1,1,,,,0.0,
R 6 400 000,2,2,Apartment/Flat,1,2,,,,0.0,139m²
R 2 500 000,9,2,House,0,3,989m²,,,,
R 13 500 000,,,CommercialProperty,0,,2703m²,,,,
R 4 300 000,2,2.5,Apartment/Flat,1,2,,R6000,R3300,,122m²
R 1 250 000,3,2,House,1,2,,R2055,R634,,166m²
R 640 000,2,1,Townhouse,0,1,,R1200,,,
R 4 500 000,5,3.5,House,0,4,2003m²,,,,
R 290 000,,1,Apartment/Flat,0,,1500m²,R1383,,,50m²
R 750 000,1,1,Apartment/Flat,0,,5158m²,R1867,R373,,46m²
R 2 350 000,,,VacantLand/Plot,0,,33284m²,,R1397,,
R 9 700 000,3,3.5,Apartment/Flat,1,2,,R12142,R6928,0.0,263m²
R 2 500 000,,,CommercialProperty,0,,495m²,,,,
R 2 199 000,3,2,Apartment/Flat,0,2,148m²,R3400,R1400,,
R 1 900 000,2,2,Apartment/Flat,1,1,21169m²,R1167,R1429,1.0,105m²
R 2 800 000,3,3.5,Townhouse,0,2,2978m²,,,,246m²
R 750 000,1,1,Apartment/Flat,0,,916m²,R1900,R300,0.0,56m²
R 1 750 000,1,1,Apartment/Flat,0,,49.2m²,R1230,R350,,49m²
R 650 000,2,1,Apartment/Flat,1,,,R1200,R320,,61m²
R 380 000,2,1,House,0,,286m²,,,,
R 620 000,0.5,1,Apartment/Flat,0,,983m²,R1141,R1214,,43m²
R 3 400 000,,,VacantLand/Plot,0,,1500m²,,,,
R 1 500 000,1,1,Apartment/Flat,1,,,R3000,R1150,,60m²
R 715 000,,,VacantLand/Plot,0,,150m²,R1250,,,150m²
R 1 100 000,,,VacantLand/Plot,0,,1566m²,,,,
R 1 300 000,2,2,Apartment/Flat,0,1,,R3873,R865,0.0,91m²
R 2 500 000,2,2,Apartment/Flat,1,4,5845m²,R4000,,,113m²
R 1 950 000,3,1,House,0,2,495m²,,R1400,1.0,200m²
R 1 005 000 - R 1 355 000,,,,0,,,,,,
R 8 500 000,5,5.5,House,1,2,2153m²,,R4500,1.0,816m²
R 25 000 000,4,4,House,1,3,2465m²,,R4500,1.0,1000m²
R 2 500 000,12,6,Apartment/Flat,0,6,500m²,,R729,0.0,760m²
R 3 800 000,12,9,Apartment/Flat,0,9,802m²,,R800,,
R 2 200 000,3,2,House,0,4,1700m²,,R1200,,450m²
R 8 599 999,4,3.5,House,1,2,991m²,,R2510,1.0,
R 2 359 000,1,1,Apartment/Flat,0,1,,R1530,,0.0,54m²
R 4 999 000,3,3.5,Apartment/Flat,0,2,,R4000,R3500,0.0,257m²
R 4 399 900,2,1,Townhouse,0,1,867m²,R2000,,,
R 6 900 000,,,CommercialProperty,0,,1785m²,,R5220,,714m²
R 300 000,,,VacantLand/Plot,0,,,,,,
R 819 000,2,1,Apartment/Flat,0,,,R1532,R600,0.0,67m²
R 850 000,1,1,Apartment/Flat,1,1,2477m²,R1874,R570,0.0,77m²
R 240 000,1,1,Apartment/Flat,0,1,1240m²,R1150,R250,0.0,62m²
R 370 000,2,1,Apartment/Flat,0,2,992m²,R1608,R177,0.0,103m²
R 900 000,2,1,Townhouse,0,,,R1000,R600,,
R 1 200 000,5,2,House,0,2,495m²,,R1900,0.0,495m²
R 9 950 000,4,4.5,House,1,2,971m²,,,1.0,500m²
R 3 199 000,3,3,Apartment/Flat,0,2,,R5500,R1200,,240m²
R 1 245 000,3,3,Townhouse,0,2,,,,1.0,
R 1 449 000,3,2.5,Townhouse,1,,217m²,R2700,R580,1.0,7950m²
R 290 000,2,1,Apartment/Flat,0,1,1243m²,R1500,,,95m²
R 2 300 000,3,2,House,0,,990m²,,R760,1.0,
R 4 600 000,,,CommercialProperty,0,,495m²,,R1965,,350m²
R 885 000,2,1,House,0,2,248m²,,R1039,1.0,150m²
R 1 690 000,,,House,0,,,,,,
R 3 700 000,4,2.5,Apartment/Flat,1,3,6104m²,,R9360,0.0,363m²
R 849 900,1,1,Apartment/Flat,0,1,,,,,39m²
R 349 000,2,1.5,Apartment/Flat,0,1,,R2100,R250,,100m²
R 3 295 000,2,2,Apartment/Flat,0,2,,,R1438,,112m²
R 250 000,2,1,House,0,,285m²,,,,
R 3 499 900,4,3,House,1,2,836m²,,,,
R 3 650 000,3,2,Apartment/Flat,1,3,,R5000,,,225m²
R 700 000,2,1,Apartment/Flat,1,1,,,,,
R 1 690 000,4,2,House,0,2,911m²,,,,
R 1 495 000,1,1.5,Townhouse,1,1,2532m²,R1176,R900,,98m²
R 780 000,1,1,Apartment/Flat,0,,2073m²,R2200,R1400,,53m²
R 3 795 000,,,Farm,1,,,,,1.0,
R 8 500 000,4,4.5,Townhouse,1,2,842m²,R4345,R2900,0.0,520m²
R 2 350 000,4,2,Apartment/Flat,0,2,,R6176,R817,,275m²
R 590 000,2,1,Apartment/Flat,1,1,17161m²,R1300,R380,0.0,61m²
R 765 000,,,Apartment/Flat,0,,,R2247,,,
R 350 000,3,2,Apartment/Flat,0,1,,R1609,,0.0,100m²
R 2 299 000,3,2,House,1,3,495m²,,R2000,1.0,
R 4 500 000,2,2,Apartment/Flat,1,2,,R3889,,0.0,100m²
