price,Type of Property,Erf Size,Levies,Pool,bedrooms,bathrooms,parking space,Floor Size,Rates and Taxes,Pets Allowed
R 3 950 000,House,1050m²,,1,4,2,2,,R2602,1.0
R 1 380 000,House,248m²,,0,3,2,3,220m²,R350,1.0
R 720 000,Townhouse,,R1400,0,2,1,,,R400,
R 2 450 000,Apartment/Flat,3724m²,R2788,0,2,2,2,73m²,R1235,0.0
R 610 000,Townhouse,,R1830,1,2,1,1,60m²,R385,
R 550 000,Apartment/Flat,1616m²,R1300,0,1,1,,45m²,R200,0.0
R 1 840 000,Townhouse,,,0,3,2,2,180m²,,
R 3 850 000,House,1500m²,,0,7,9,4,550m²,R1500,0.0
R 2 850 000,VacantLand/Plot,796m²,R2150,0,,,,,,
R 3 300 000,House,1502m²,,1,5,4,8,,R902,1.0
R 3 355 000 - R 3 730 000,,,,0,,,,,,
R 1 100 000,House,1143m²,,0,3,1,4,,,
R 1 100 000,House,495m²,,0,3,1,5,,,
R 5 150 000,Apartment/Flat,,R5000,1,3,3,2,,,1.0
R 1 599 000,House,200m²,,0,3,1,1,,,
R 590 000,Townhouse,,,0,2,2,1,,,0.0
R 2 500 000,Apartment/Flat,,R2280,1,,1,1,52m²,,
R 970 000,Apartment/Flat,800m²,,0,2,2,2,85m²,,
R 250 000,Apartment/Flat,1487m²,R1500,0,0.5,1,1,28m²,R200,0.0
R 995 000,Townhouse,88m²,R1130,0,2,1.5,1,88m²,R770,0.0
R 1 025 000,Townhouse,,R1650,0,2,2,1,90m²,R500,0.0
R 799 000,House,,,0,2,1,2,130m²,R400,1.0
